"ACERIA DE ALAVA,",26
ACID REGENERATION SERVICE SPAIN I,13
AIALA VIDRIO,22
AMURRIO FERROCARRIL Y EQUIPOS,13
ARAGONESA DE PIENSOS,3
ATUSA EMPRESARIAL,16
AVICOLA ARBARAITZ,2
AVICOLA TOLOSA SAT,4
BGB GIOVANNI BOZZETTO,7
BIONOR BERANTEVILLA,12
CASTINOX,5
CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.,47
"CERAMICA MARLO, S.A.",7
COMPAÑIA DE BEBIDAS PEPSICO,13
"CONDESA FABRIL, S.A.",18
DEGUISA,11
DEKITRA,32
ECN CABLE GROUP,15
AYUNTAMIENTO DE VITORIA-GASTEIZ,1
ELECTROCROMO,7
ENERGYWORKS VIT-VALL,15
EVONIK SILQUIMICA,9
FUNDIAL,3
FUNDICIONES INYECTADAS ALAVESAS S.A. (FIASA),13
FUNDICIONES URBINA,4
GALVANIZADOS ALAVESES CABA,11
GALVANIZADOS VITORIA,9
"GAMARRA, S.A.",8
GENERAL QUIMICA,29
GUARDIAN LLODIO UNO,30
HELADOS Y POSTRES,20
INDUSTRIA AUXILIAR ALAVESA,11
INDUSTRIAS DIMO,27
INDUSTRIAS GALYCAS,25
INTERENVASES,15
JEZ SISTEMAS FERROVIARIOS,10
"KIME, S.A.",8
CELSA ATLANTIC,34
LASCARAY,9
"LITOGRAFIA ALAVESA, S.L.",13
MERCEDES-BENZ ESPAÑA,45
MICHELIN ESPAÑA PORTUGAL,77
MOMENTIVE SPECIALTY CHEMICALS IBERICA,19
NOVACERO,16
NUBIOLA PIGMENTOS,14
OFITA INTERIORES S.A.,13
OLAZABAL Y HUARTE,15
PEMCO ESMALTES,5
PIROTECNIA LECEA,1
QUINTON HAZELL ESPAÑA,20
RAMONDIN CAPSULAS,18
RECTICEL IBERICA,22
RECUBRIMIENTOS GASTEIZ,2
SIDENOR INDUSTRIAL,91
SK2024 AERONAUTICA,12
SNA EUROPE INDUSTRIES IBERIA,56
TALLER AUXILIAR DE GALVANOTECNIA ALAVESA,8
TREFILADOS DE URBINA,7
TUBACEX TUBOS INOXIDABLES,60
TUBOS REUNIDOS INDUSTRIAL S.L.U.,30
ZEOLITAS DE ALAVA,12
ALGODONERA DE SAN ANTONIO INDUSTRIAL,14
AMPO,15
KROSAKI AMR REFRACTARIOS S.A.U.,28
ANODIZADOS ESPECIALES Y DUROS,4
ARCELORMITTAL GIPUZKOA,30
ARKEMA QUIMICA,43
AVICOLA GORROTXATEGI,2
AVICOLA SAN BLAS,2
